name,set,collector_number,collected
Undergrowth Recon,MKM,181,0
Unscrupulous Agent,MKM,109,4
Unyielding Gatekeeper,MKM,35,1
Urgent Necropsy,MKM,240,1
"Vannifar, Evolved Enigma",MKM,241,1
Vein Ripper,MKM,110,0
Vengeful Creeper,MKM,182,4
Vengeful Tracker,MKM,147,3
Vitu-Ghazi Inspector,MKM,183,4
Warleader's Call,MKM,242,0
Wispdrinker Vampire,MKM,243,4
Wojek Investigator,MKM,36,1
Worldsoul's Rage,MKM,244,3
Wrench,MKM,37,4
"Yarus, Roar of the Old Gods",MKM,245,2
